ImageName,ImageID,Year,coder1-encodings,coder2-encodings,coder1-hardness,coder2-hardness
InfoVisJ.1225.14.png,I7579Y2020,2020,Surface/Volume,Surface/Volume,Easy,Neutral
InfoVisJ.1225.17.png,I7582Y2020,2020,Surface/Volume,Surface/Volume,Easy,Neutral
InfoVisJ.1225.15.png,I7580Y2020,2020,Bar,Bar,Easy,Easy
InfoVisJ.1225.16.png,I7581Y2020,2020,Bar,Bar,Easy,Easy
InfoVisJ.1236.3.png,I7586Y2020,2020,Area,Area,Easy,Neutral
InfoVisJ.1236.14.png,I7596Y2020,2020,Grid,Area,Neutral,Easy
InfoVisJ.1247.10.png,I7606Y2020,2020,Line,Line,Easy,Neutral
InfoVisJ.1247.12.png,I7610Y2020,2020,Line,Line,Easy,Easy
InfoVisJ.1247.11.png,I7607Y2020,2020,Line,Line,Easy,Easy
InfoVisJ.1247.14.png,I7609Y2020,2020,Line,Node-link,Easy,Easy
InfoVisJ.1247.13.png,I7608Y2020,2020,Bar,Bar,Easy,Easy
InfoVisJ.1247.15.png,I7611Y2020,2020,Bar,Bar,Neutral,Easy
InfoVisJ.1257.8.png,I7619Y2020,2020,Line,Line,Easy,Easy
InfoVisJ.1257.9.png,I7620Y2020,2020,Node-link,Node-link,Easy,Easy
SciVisJ.1268.1.png,I7621Y2020,2020,Surface/Volume,Surface/Volume,Easy,Neutral
SciVisJ.1268.5.png,I7624Y2020,2020,Surface/Volume,Surface/Volume,Neutral,Neutral
SciVisJ.1268.6.png,I7626Y2020,2020,Surface/Volume,Surface/Volume,Easy,Easy
SciVisJ.1268.8.png,I7628Y2020,2020,Surface/Volume,Surface/Volume,Easy,Easy
SciVisJ.1268.7.png,I7627Y2020,2020,Surface/Volume,Surface/Volume,Easy,Easy
SciVisJ.1279.1.png,I7629Y2020,2020,Pattern,Pattern,Neutral,Easy
SciVisJ.1279.4.png,I7631Y2020,2020,Pattern,Pattern,Easy,Easy
SciVisJ.1279.7.png,I7633Y2020,2020,Line,Node-link,Easy,Easy
SciVisJ.1279.3.png,I7632Y2020,2020,Pattern,Pattern,Neutral,Easy
SciVisJ.1279.8.png,I7637Y2020,2020,Line,Line,Easy,Easy
SciVisJ.1279.5.png,I7635Y2020,2020,Line,Line,Easy,Easy
SciVisJ.1279.11.png,I7639Y2020,2020,Line,Node-link,Easy,Easy
SciVisJ.1279.9.png,I7636Y2020,2020,Line,Line,Easy,Easy
SciVisJ.1279.13.png,I7640Y2020,2020,Line,Pattern,Hard,Neutral
SciVisJ.1279.12.png,I7641Y2020,2020,Line,Line,Easy,Easy
SciVisJ.1279.14.png,I7642Y2020,2020,Pattern,Pattern,Hard,Neutral
SciVisJ.1290.3.png,I7645Y2020,2020,Line,Line,Easy,Easy
SciVisJ.1290.6.png,I7647Y2020,2020,Surface/Volume,Surface/Volume,Easy,Easy
SciVisJ.1290.13.png,I7652Y2020,2020,Surface/Volume,Surface/Volume,Neutral,Easy
SciVisJ.1290.7.png,I7651Y2020,2020,Surface/Volume,Surface/Volume,Easy,Easy
SciVisJ.1290.8.png,I7650Y2020,2020,Node-link,Node-link,Easy,Neutral
SciVisJ.1290.11.png,I7653Y2020,2020,Surface/Volume,Surface/Volume,Easy,Easy
SciVisJ.1290.12.png,I7654Y2020,2020,Surface/Volume,Surface/Volume,Easy,Easy
SciVisJ.1290.9.png,I7649Y2020,2020,Surface/Volume,Surface/Volume,Easy,Easy
SciVisJ.1290.5.png,I7648Y2020,2020,Surface/Volume,Surface/Volume,Neutral,Easy
SciVisJ.1290.10.png,I7655Y2020,2020,Surface/Volume,Surface/Volume,Easy,Easy
SciVisJ.1290.18.png,I7660Y2020,2020,Surface/Volume,Surface/Volume,Neutral,Easy
SciVisJ.1290.14.png,I7656Y2020,2020,Surface/Volume,Surface/Volume,Neutral,Easy
SciVisJ.1290.16.png,I7658Y2020,2020,Surface/Volume,Surface/Volume,Easy,Neutral
SciVisJ.1290.17.png,I7657Y2020,2020,Surface/Volume,Surface/Volume,Easy,Easy
